courseNumber,courseReferenceNumber,courseTitle,subjectDescription,description
BCH095,10495,TOPICS IN BIOCHEMISTRY FOR CAREER PLANNING,Biochemistry,"1 unit, seminar, 1 hour. prerequisite(s): lower-division standing in biochemistry. topics include analysis of academic aspects of career goals and options; curriculum planning; undergraduate research opportunities; preparation for postgraduate education; laboratory experiences and evaluation of data; ethics in education and research; research problems in contemporary biochemistry; and modern experimental approaches in biochemistry. graded satisfactory (s) or no credit (nc). credit is awarded for only one of bch 095, nasc 091, or nasc 093."
BCH097,25402,RESEARCH TUTORIAL IN BIOCHEMISTRY,Biochemistry,"1 unit, laboratory, 3 hours. prerequisite(s): lower-division standing, minimum grade point average of 3.5, approval of undergraduate advisor and consent of instructor. laboratory tutorial in biochemistry. to provide biochemistry laboratory experience for exceptional lower-division students. a written report is required at the end of each quarter. graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 3 units."
BCH098I,10497,INDIVIDUAL INTERNSHIP IN A HUMANITARIAN OR HEALTHCARE ARENA,Biochemistry,"1 unit, internship, 3 hours; term paper, 10 hours per quarter. prerequisite(s): bch 096;  restricted to major(s) biochemistry;  with an emphasis in medical sciences;  permission by department. real-world experience is gained by providing community service in a humanitarian or healthcare arena. requires a  written report.  graded satisfactory (s) or no credit (nc). course is repeatable to a maximum of 2 units."
BCH100,23894,INTRODUCTORY BIOCHEMISTRY,Biochemistry,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005a with a grade of c- or better; chem 08hb with a grade of c- or better or chem 008b with a grade of c- or better; chem 08lb with a grade of c- or better or chem 08hlb with a grade of c- or better. introduction to the biochemistry of living organisms based on a study of the structure, function, and metabolism of small molecules and macromolecules of biological significance. examines selected animals, plants, and microorganisms to develop a general understanding of structure-function relationships, enzyme action, regulation, bioenergetics, and intermediary metabolism. credit is awarded for one of the following bch 100 or bch 100h. credit is not awarded for bch 100 if a grade of ""c-"" or higher has been awarded previously in bch 110a or bch 110ha or bch 110b or bch 110hb or bch 110c or bch 110hc."
BCH100H,29877,HONORS INTRODUCTORY BIOCHEMISTRY,Biochemistry,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005a with a grade of c- or better; chem 008b with a grade of c- or better or chem 08hb with a grade of c- or better; chem 08lb with a grade of c- or better or chem 08hlb with a grade of c- or better; admission to university honors. honors course corresponding to bch 100. introduction to the biochemistry of living organisms based on a study of the structure, function, and metabolism of small molecules and macromolecules of biological significance. examines selected animals, plants, and microorganisms to develop a general understanding of structure-function relationships, enzyme action, regulation, bioenergetics, and intermediary metabolism. credit is awarded for one of the following bch 100h or bch 100. credit is not awarded for bch 100h if a grade of c- or higher has been awarded previously in bch 110a or bch 110ha, bch 110b or bch 110hb, or bch 110c or bch 110hc."
BCH110A,23926,GENERAL BIOCHEMISTRY,Biochemistry,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005a with a grade of ""c-"" or better; chem 008c and chem 08lc or chem 08hc and chem 08hlc with grades of ""c-"" or better. considers the structure and function of biological molecules including proteins, carbohydrates, lipids, and nucleic acids. credit is awarded for only one of bch 110a or bch 110ha."
BCH110HA,37812,HONORS GENERAL BIOCHEMISTRY,Biochemistry,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): biol 005a with a grade of c- or better; chem 008c with a grade of c- or better, chem 08lc with a grade of c- or better or chem 08hc with a grade of c- or better, chem 08hlc with a grade of c- or better;  admission to university honors. honors course corresponding to bch 110a.  considers the structure and function of biological molecules including proteins, carbohydrates, lipids, and nucleic acids.  satisfactory(s) or no credit(n/c) is not available.   credit is awarded for one of the following  bch 110ha or bch 110a."
BCH120,35399,TOPICS IN HUMAN BIOCHEMISTRY,Biochemistry,"4 units, lecture, 3 hours; discussion, 1 hour. prerequisite(s): bch 100 with a grade of ""c+"" or better or bch 110b or bch 110hb with a grade of ""c-"" or better or consent of instructor. lectures on biochemical and molecular aspects of modern endocrinology, nutrition, metabolic diseases, and blood chemistry. emphasis is on relation of the above topics to medicine. the discussion sections are used for presentations on topical medical problems."
BCH180E,29875,GENE REGULATION,Biochemistry,"2 units, lecture, 1 hour; seminar, 1 hour. prerequisite(s): bch 197, may be taken concurrently or bch 110c or bch 110hc or biol 107a with a grade of c- or better;  restricted to class level standing of junior, or  senior;  or consent of instructor. an introduction and discussion of the experimental approaches and modern techniques in the study of cell growth regulation, signal transduction, and cell death in cancer. e.   gene regulation;  f.   chromatin research;  g.   cell signaling;  i.   structural biology;  j.   biophysical chemistry;  k.   cryoelectron microscopy;  m.   biological structure/function;  n.   genome stability;  o.   genomics and proteomics;  p.   regulation of protein synthesis;  q.   stem cell biology;  r.   epigenetics;  s.   molecular biology of genetic diseases;  t.   biochemistry of development and aging;  u.   biochemistry of stress responses.   course is repeatable as content or topic changes to a maximum of 6 units."
BCH185,34699,EPIGENETICS IN DEVELOPMENT AND DISEASE,Biochemistry,"4 units, lecture, 3 hours; discussion, 1 hour; extra reading, 2 hours. prerequisite(s): bch 110c with a grade of c- or better or bch 110hc with a grade of c- or better or biol 107a with a grade of c- or better; or equivalents. examines epigenetic regulation of gene expression in mammalian development and human disease. covers the roles of epigenetic mechanisms in normal homeostasis including mammalian embryogenesis, memory formation, and transgenerational inheritance.  addresses aberrant epigenetic control in major human disorders including cancer, neurological disorders, and systemic disease.  explores epigenetics in regenerative medicine."
BCH190,10532,SPECIAL STUDIES,Biochemistry,"2 to 4 units, individual study, 6 to 16 hours. prerequisite(s): upper-division standing and consent of instructor. literature review and tutorial in select modern biochemical topics. course is repeatable."
BCH197,10549,RESEARCH FOR UNDERGRADUATE STUDENTS,Biochemistry,"1 to 4 units, prerequisite(s): junior status and consent of the instructor. directed research and preparation of written report. course is repeatable."
BCH210,24085,BIOCHEMISTRY OF MACROMOLECULES,Biochemistry,"4 units, lecture, 4 hours. prerequisite(s): bch 110a, bch 110b, bch 110c or equivalents; bch 184 (may be taken concurrently); chem 109; graduate standing or consent of instructor. discussion of recent advances in the knowledge of the molecular architecture of proteins and nucleic acids, especially with respect to new experimental approaches for analyzing their structure and function. chemistry of the active site of enzymes."
BCH230P,38106,EMERGING TOPICS IN BCH & MCBL,Biochemistry,"2 units, lecture, 1 hour; discussion, 1 hour. prerequisite(s): bch 100 or bch 100h or bch 110a, bch 110b or bch 110ha, bch 110hb;  graduate standing. addresses advances in a particular field of biochemistry by analysis of the recent literature.  e.   structure of biological molecules;  f.   enzyme catalysis;  g.   glycobiochemistry;  h.   membrane biochemistry;  i.   cytoskeleton and extracellular matrix;  j.   metabolism;  k.   regulation of chromatin structure and transcription;  m.   genome stability;  n.   regulation of protein synthesis;  o.   signal transduction;  p.   emerging topics in biochemistry and molecular biology;  q.   cell cycle regulation;  r.   biochemistry of stress responses;  s.   biochemistry of development and aging;  t.   molecular basis of genetic diseases;  u.   genomics and proteomics;  w.   stem cell biology.   course is repeatable."
